iter	Passed	Remaining
0	139	27822
1	141	14024
2	143	9408
3	145	7109
4	146	5724
5	148	4798
6	149	4133
7	151	3638
8	153	3257
9	155	2946
10	156	2691
11	158	2478
12	159	2293
13	160	2135
14	161	1997
15	163	1876
16	164	1767
17	165	1670
18	166	1584
19	167	1503
20	167	1430
21	168	1363
22	169	1302
23	169	1246
24	170	1194
25	171	1147
26	172	1102
27	172	1060
28	173	1021
29	173	984
30	174	949
31	174	917
32	175	887
33	175	858
34	176	831
35	176	805
36	177	781
37	177	758
38	178	736
39	178	715
40	179	695
41	180	677
42	180	659
43	181	642
44	181	625
45	182	609
46	182	594
47	183	580
48	183	566
49	184	552
50	184	539
51	185	527
52	185	515
53	186	503
54	186	492
55	187	481
56	187	471
57	188	461
58	188	451
59	189	442
60	189	432
61	190	423
62	190	415
63	191	406
64	191	398
65	192	390
66	192	383
67	193	375
68	194	368
69	194	361
70	195	354
71	195	347
72	196	341
73	196	334
74	197	328
75	197	322
76	198	316
77	198	310
78	199	305
79	199	299
80	200	294
81	200	288
82	200	283
83	201	278
84	201	273
85	202	268
86	203	263
87	203	259
88	204	254
89	204	250
90	205	245
91	205	241
92	206	237
93	206	232
94	207	228
95	207	224
96	208	221
97	208	217
98	209	213
99	209	209
100	210	206
101	210	202
102	211	199
103	211	195
104	212	192
105	212	188
106	213	185
107	213	182
108	214	178
109	214	175
110	215	172
111	215	169
112	216	166
113	216	163
114	217	160
115	218	157
116	218	155
117	219	152
118	219	149
119	220	146
120	220	144
121	221	141
122	221	138
123	222	136
124	222	133
125	223	131
126	223	128
127	224	126
128	224	123
129	225	121
130	225	118
131	226	116
132	226	114
133	227	112
134	227	109
135	228	107
136	229	105
137	229	103
138	230	100
139	230	98
140	231	96
141	231	94
142	232	92
143	232	90
144	233	88
145	233	86
146	234	84
147	234	82
148	235	80
149	235	78
150	236	76
151	236	74
152	237	72
153	237	70
154	238	69
155	238	67
156	239	65
157	239	63
158	240	61
159	240	60
160	241	58
161	241	56
162	242	55
163	243	53
164	243	51
165	244	50
166	244	48
167	245	46
168	245	45
169	246	43
170	247	41
171	247	40
172	248	38
173	248	37
174	249	35
175	249	34
176	250	32
177	251	31
178	251	29
179	252	28
180	252	26
181	253	25
182	253	23
183	254	22
184	255	20
185	255	19
186	256	17
187	256	16
188	257	14
189	258	13
190	258	12
191	259	10
192	259	9
193	260	8
194	261	6
195	261	5
196	262	3
197	262	2
198	263	1
199	263	0
